Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|6666666.363677.peg.1	CDS	CP002976.1	101	1528	2	+	1428	Chromosomal replication initiator protein DnaA	DNA replication cluster 1	 	 
fig|6666666.363677.peg.2	CDS	CP002976.1	1838	2959	2	+	1122	DNA polymerase III beta subunit (EC 2.7.7.7)	DNA replication cluster 1	 	 
fig|6666666.363677.peg.3	CDS	CP002976.1	3057	4154	3	+	1098	DNA recombination and repair protein RecF	DNA repair, bacterial RecFOR pathway; <br>DNA replication cluster 1	 	 
fig|6666666.363677.peg.4	CDS	CP002976.1	4151	4771	2	+	621	Mll4618 protein	- none -	 	 
fig|6666666.363677.peg.5	CDS	CP002976.1	5385	4786	-3	-	600	Transcriptional regulator, AcrR family	- none -	 	 
fig|6666666.363677.peg.6	CDS	CP002976.1	5486	6079	2	+	594	NAD(P)H dehydrogenase, quinone family	- none -	 	 
fig|6666666.363677.peg.7	CDS	CP002976.1	6165	8582	3	+	2418	DNA gyrase subunit B (EC 5.99.1.3)	DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones	 	 
fig|6666666.363677.peg.8	CDS	CP002976.1	8736	8897	3	+	162	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.9	CDS	CP002976.1	8984	9811	2	+	828	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.10	CDS	CP002976.1	9965	11044	2	+	1080	LysM domain protein	- none -	 	 
fig|6666666.363677.peg.11	CDS	CP002976.1	11056	12081	1	+	1026	LysM domain protein	- none -	 	 
fig|6666666.363677.peg.12	CDS	CP002976.1	19065	18940	-3	-	126	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.13	CDS	CP002976.1	19272	19904	3	+	633	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.14	CDS	CP002976.1	20565	19924	-3	-	642	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.15	CDS	CP002976.1	21963	20929	-3	-	1035	Mobile element protein	- none -	 	 
fig|6666666.363677.peg.16	CDS	CP002976.1	22357	23160	1	+	804	Transcriptional regulator, MarR family / Acetyltransferase (GNAT)	- none -	 	 
fig|6666666.363677.peg.17	CDS	CP002976.1	23680	23895	1	+	216	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.18	CDS	CP002976.1	25498	24350	-1	-	1149	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.19	CDS	CP002976.1	25892	25671	-2	-	222	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.20	CDS	CP002976.1	26280	26026	-3	-	255	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.21	CDS	CP002976.1	27085	26381	-1	-	705	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.22	CDS	CP002976.1	28478	27300	-2	-	1179	Integrase	- none -	 	 
fig|6666666.363677.peg.23	CDS	CP002976.1	28936	30465	1	+	1530	Transposase	- none -	 	 
fig|6666666.363677.peg.24	CDS	CP002976.1	30455	31246	2	+	792	Mobile element protein	- none -	 	 
fig|6666666.363677.peg.25	CDS	CP002976.1	31333	31872	1	+	540	Glycine betaine/L-proline transport system permease protein ProW (TC 3.A.1.12.1)	- none -	 	 
fig|6666666.363677.peg.26	CDS	CP002976.1	31924	32904	1	+	981	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	- none -	 	 
fig|6666666.363677.peg.27	CDS	CP002976.1	32919	33893	3	+	975	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	- none -	 	 
fig|6666666.363677.peg.28	CDS	CP002976.1	37298	33915	-2	-	3384	Error-prone repair homolog of DNA polymerase III alpha subunit (EC 2.7.7.7)	DNA replication strays	 	 
fig|6666666.363677.peg.29	CDS	CP002976.1	38881	37295	-1	-	1587	DNA polymerase-like protein PA0670	- none -	 	 
fig|6666666.363677.peg.30	CDS	CP002976.1	40980	39430	-3	-	1551	deoxyribodipyrimidine photolyase-related protein	- none -	 	 
fig|6666666.363677.peg.31	CDS	CP002976.1	42483	41128	-3	-	1356	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	Heme and Siroheme Biosynthesis	 	 
fig|6666666.363677.peg.32	CDS	CP002976.1	43231	42536	-1	-	696	NnrU family protein, required for expression of nitric oxide and nitrite reductases (Nir and Nor)	- none -	 	 
fig|6666666.363677.peg.33	CDS	CP002976.1	43962	43276	-3	-	687	Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)	Gentisate degradation; <br>Glutathione: Non-redox reactions; <br>Homogentisate pathway of aromatic compound degradation; <br>Pterin carbinolamine dehydratase; <br>Salicylate and gentisate catabolism	 	 
fig|6666666.363677.peg.34	CDS	CP002976.1	44556	44014	-3	-	543	Glyoxalase family protein	- none -	 	 
fig|6666666.363677.peg.35	CDS	CP002976.1	44783	44553	-2	-	231	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.36	CDS	CP002976.1	46399	44780	-1	-	1620	Monooxygenase family protein	- none -	 	 
fig|6666666.363677.peg.37	CDS	CP002976.1	47504	46554	-2	-	951	MBL-fold metallo-hydrolase superfamily	- none -	 	 
fig|6666666.363677.peg.38	CDS	CP002976.1	48772	47516	-1	-	1257	Fumarylacetoacetase (EC 3.7.1.2)	Homogentisate pathway of aromatic compound degradation; <br>Pterin carbinolamine dehydratase; <br>Salicylate and gentisate catabolism	 	 
fig|6666666.363677.peg.39	CDS	CP002976.1	50239	48878	-1	-	1362	Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	Homogentisate pathway of aromatic compound degradation; <br>Pterin carbinolamine dehydratase	 	 
fig|6666666.363677.peg.40	CDS	CP002976.1	50313	50753	3	+	441	Transcriptional regulator, MarR family	- none -	 	 
fig|6666666.363677.peg.41	CDS	CP002976.1	50811	52025	3	+	1215	Adenylate cyclase (EC 4.6.1.1) / Guanylate cyclase (EC 4.6.1.2)	cAMP signaling in bacteria	 	 
fig|6666666.363677.peg.42	CDS	CP002976.1	52195	52506	1	+	312	FIG00918138: hypothetical protein	- none -	 	 
fig|6666666.363677.peg.43	CDS	CP002976.1	54171	52543	-3	-	1629	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.44	CDS	CP002976.1	54967	54158	-1	-	810	Spacial regulator of FtsZ polymerization, MipZ	- none -	 	 
fig|6666666.363677.peg.45	CDS	CP002976.1	55408	55187	-1	-	222	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent	Ribosome LSU bacterial; <br>Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.46	CDS	CP002976.1	55791	55420	-3	-	372	LSU ribosomal protein L19p	Ribosome LSU bacterial	 	 
fig|6666666.363677.peg.47	CDS	CP002976.1	56894	56094	-2	-	801	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)	- none -	 	 
fig|6666666.363677.peg.48	CDS	CP002976.1	56962	57990	1	+	1029	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.49	CDS	CP002976.1	58499	57996	-2	-	504	16S rRNA processing protein RimM	- none -	 	 
fig|6666666.363677.peg.50	CDS	CP002976.1	58642	58496	-1	-	147	hypothetical protein	- none -	 	 
fig|6666666.363677.peg.51	CDS	CP002976.1	59291	58650	-2	-	642	Cobalamin biosynthesis protein BluB @ 5,6-dimethylbenzimidazole synthase, flavin destructase family	Cobalamin synthesis	 	 
fig|6666666.363677.peg.52	CDS	CP002976.1	59655	59296	-3	-	360	SSU ribosomal protein S16p	Ribosome SSU bacterial	 	 
fig|6666666.363677.peg.53	CDS	CP002976.1	60005	59697	-2	-	309	Chorismate mutase I (EC 5.4.99.5)	Phenylalanine and Tyrosine Branches from Chorismate	 	 
