gene	start	end	num_knockouts	pre_ave	post_0_ave	post_2_ave	post_0_fitness	post_2_fitness	overall_fitness	RAST_desc
CP002976.1_2664070_2665032	2664070	2665032	256	2403.4472218739	2510.4371533605	1737.01247888265	1.04451519904946	0.722717130242762	-0.531330490265357	Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)
CP002976.1_3288800_3287094	3287094	3288800	82	784.762148404199	803.702335875933	666.029181424125	1.02413494013472	0.848701970117294	-0.271075885979695	hypothetical protein
CP002976.1_199777_201165	199777	201165	70	556.963302733559	561.666243356366	421.42556128284	1.00844389675177	0.756648704168653	-0.414435275756957	Sensor histidine kinase in cluster with mercury reductase
CP002976.1_3406885_3406025	3406025	3406885	43	360.333624884782	366.130690496414	291.075969231596	1.01608805065996	0.807795745747204	-0.330962973240221	N-formylglutamate deformylase (EC 3.5.1.68)
CP002976.1_2032078_2031863	2031863	2032078	103	609.584866953382	817.792594116687	536.687456523695	1.34155658785281	0.88041466515726	-0.607652828168412	glutathione-dependent formaldehyde-activating, GFA
CP002976.1_1708019_1706388	1706388	1708019	24	127.310637752334	210.514842113732	118.647513187889	1.65355264752708	0.931952861776579	-0.827240090035208	(R)-citramalate synthase (EC 2.3.1.182)
CP002976.1_870880_871212	870880	871212	17	92.8456972645542	170.747190016779	110.837702757178	1.83904257329505	1.19378394500455	-0.623413121629848	hypothetical protein
CP002976.1_1649069_1647966	1647966	1649069	40	298.889035137329	283.719617132828	207.930971387884	0.949247325190331	0.695679489521411	-0.448361241741283	PQQ-dependent oxidoreductase, gdhB family
CP002976.1_3215187_3215348	3215187	3215348	3565	31214.8375698109	28457.0316328269	23668.9747619605	0.911650799693694	0.758260385274332	-0.265787965382074	hypothetical protein
CP002976.1_2989091_2990107	2989091	2990107	388	3021.30779105095	2898.35952485494	2319.22540519829	0.959306275725967	0.767623018107517	-0.321593521899322	hypothetical protein
CP002976.1_3260597_3261217	3260597	3261217	35	441.222744031015	384.116458445818	268.602804295868	0.870572661183617	0.608769171421016	-0.516069414104882	hypothetical protein
CP002976.1_1559161_1558328	1558328	1559161	21	199.89777812819	189.446871874094	140.918782378633	0.947718747291958	0.704954220593014	-0.426929404157903	Arsenical resistance operon repressor / Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled, LMWP family
CP002976.1_2751073_2752260	2751073	2752260	26	186.179550515819	183.621133265517	135.305295872589	0.986258333725627	0.726746280661436	-0.440513802757835	hypothetical protein
CP002976.1_1652954_1653964	1652954	1653964	33	240.753926852448	251.670094346856	162.725836048389	1.0453415968625	0.67590106701819	-0.629090466490321	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
CP002976.1_1334332_1335318	1334332	1335318	227	1924.20564769931	2082.35716103689	1517.11230769025	1.08219054627902	0.788435638105624	-0.456889649223648	Pyrimidine ABC transporter, substrate-binding component
CP002976.1_3235522_3235136	3235136	3235522	448	4211.70578291401	3749.67557493202	2949.04469530802	0.890298555550498	0.700201972149067	-0.346518089976961	hypothetical protein
CP002976.1_74592_73699	73699	74592	97	754.738464735092	662.994865763672	552.959829381463	0.878443191571506	0.732650918454975	-0.261823020678556	Glycolate utilization operon transcriptional activator GlcC
CP002976.1_1621423_1620668	1620668	1621423	899	21924.6914299838	31814.4329458806	16475.6088920916	1.45107779726249	0.751463661174263	-0.949349623346457	Autoinducer-binding transcriptional regulator, LuxR family
CP002976.1_1810519_1808762	1808762	1810519	291	2051.29542934449	2263.7548231636	1523.49284623184	1.10357327900204	0.742697918806694	-0.571334989320359	FIG01031213: hypothetical protein
CP002976.1_3237044_3235875	3235875	3237044	1323	11411.5704010905	10551.726475438	8438.34731922393	0.924651568940038	0.739455396815287	-0.322446697594642	hypothetical protein
CP002976.1_2038707_2036044	2036044	2038707	81	617.336481226309	668.576109448634	450.433889864112	1.08300113435794	0.729640809448596	-0.569776425988546	Sensory box histidine kinase/response regulator
CP002976.1_48772_47516	47516	48772	79	692.342074803015	775.215868430343	577.808284469008	1.1197006460295	0.834570518675187	-0.424007213531572	Fumarylacetoacetase (EC 3.7.1.2)
CP002976.1_3698887_3698522	3698522	3698887	22	235.281815902149	176.415974804313	128.899701466995	0.749807094644672	0.547852374280393	-0.452732283201751	hypothetical protein
CP002976.1_1711867_1713417	1711867	1713417	51	253.239082140053	388.437487334723	278.738507891196	1.53387654090413	1.10069309024363	-0.478770113733913	Trimethylamine methyltransferase family protein
CP002976.1_338667_339566	338667	339566	18	80.3195166836967	66.193011440637	622.044263907874	0.824121137348339	7.74462160121708	3.23226643182466	Cell-division-associated, ABC-transporter-like signaling protein FtsX
CP002976.1_3182330_3181470	3181470	3182330	38	210.187741327598	191.704021593408	334.200724198239	0.912060905086841	1.59001054051652	0.801834257279968	D-alanine aminotransferase (EC 2.6.1.21)
CP002976.1_137926_142167	137926	142167	37	270.907949289815	276.926477181952	223.90437774039	1.02221613617435	0.826496152391817	-0.306620261835416	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
CP002976.1_1690597_1691655	1690597	1691655	34	210.396249634103	221.31654579026	179.393325694839	1.05190347344664	0.852645073316748	-0.302985096153831	ABC transporter, permease protein 1 (cluster 5, nickel/peptides/opines)
CP002976.1_2727791_2727474	2727474	2727791	46	301.65397404564	340.561896427567	261.088995489362	1.12898196519712	0.865524799782215	-0.383375377444475	antibiotic biosynthesis monooxygenase domain protein
CP002976.1_1579365_1578853	1578853	1579365	15	114.434826407332	123.603577029092	100.010189795306	1.08012203023862	0.87394889244047	-0.305573494576776	hypothetical protein
CP002976.1_581988_583832	581988	583832	303	2383.04962372047	2295.55751732989	1854.18464601707	0.96328565485179	0.778072192689916	-0.308059660970741	KAP P-loop domain protein
CP002976.1_2711493_2712044	2711493	2712044	16	139.650088937777	116.741273025789	94.8241353674497	0.83595559382569	0.67901235214895	-0.299988488739053	FIG00918956: hypothetical protein
CP002976.1_2320898_2316330	2316330	2320898	237	1866.23132855241	1993.40374503108	1321.97220382135	1.06814397257885	0.708364597462184	-0.592542101344565	hypothetical protein
CP002976.1_367755_367051	367051	367755	158	1172.83887293753	999.48371224835	922.017749961884	0.852191835818855	0.78614187441841	-0.116388532210521	Purine nucleoside phosphorylase (EC 2.4.2.1)
CP002976.1_3263618_3261225	3261225	3263618	404	3771.55732331338	3748.1974323855	2942.39554084798	0.993806300971889	0.780154002342735	-0.349205748969699	hypothetical protein
CP002976.1_453553_452579	452579	453553	62	516.097118788176	444.454535796017	372.468753794472	0.861183912128051	0.721702835057574	-0.254916446512847	pyridoxal-phosphate dependent enzyme family protein
CP002976.1_182984_184282	182984	184282	60	486.860349227645	389.605956068179	404.446020574957	0.800241705216393	0.830722857625538	0.0539314334105933	Glutamate/glutamine/aspartate/asparagine transport system permease protein bztC
CP002976.1_2355342_2354323	2354323	2355342	41	316.877563328365	316.981792625891	227.249351816645	1.00032892608878	0.717151916436436	-0.480123795188757	AraC-type DNA-binding domain-containing proteins
CP002976.1_1644243_1645100	1644243	1645100	29	182.846989494816	232.970590752066	152.785077997251	1.27412866569876	0.835589792423582	-0.608644199393078	hypothetical protein
CP002976.1_3172611_3171619	3171619	3172611	25	304.044077923955	232.545739183514	191.731890702262	0.764842192524718	0.630605575387055	-0.278424186386323	Quinone oxidoreductase (EC 1.6.5.5)
CP002976.1_1233532_1232090	1232090	1233532	60	492.27981871815	570.724936915636	384.59666994049	1.15935066849125	0.781256219159956	-0.569449329602624	Amidase family protein bll0246
CP002976.1_969779_969561	969561	969779	4	48.5776573338144	90.1145167783416	42.0367834428	1.85506098326429	0.865352216430137	-1.10010725035614	hypothetical protein
CP002976.1_2411661_2410909	2410909	2411661	249	1909.02882600159	2128.94239847132	1474.7040362252	1.11519656983406	0.772489140100588	-0.529711472423162	hypothetical protein
CP002976.1_2894488_2895540	2894488	2895540	34	430.581721896699	300.106147789234	305.478186042768	0.696978372577627	0.709454606426732	0.0255964886042332	Quinolinate synthetase (EC 2.5.1.72)
CP002976.1_3354390_3354854	3354390	3354854	28	303.241666600578	280.421330090669	170.394429361862	0.924745379598619	0.561909685011398	-0.718717920436223	Cytochrome c2
CP002976.1_351434_350241	350241	351434	2	6	9.90006321081542	9.8275129618723	1.6500105351359	1.63791882697872	-0.0106113751961514	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)
CP002976.1_3234323_3232398	3232398	3234323	1309	11451.1647159884	10775.2697442928	8366.37717753946	0.940975875514922	0.730613643680986	-0.365049040765383	hypothetical protein
CP002976.1_2602155_2600197	2600197	2602155	167	1421.37827731071	1332.42761089066	981.568688331204	0.937419427438875	0.690575270496154	-0.440896021891004	Methyl-accepting chemotaxis sensor/transducer protein
CP002976.1_1640664_1639624	1639624	1640664	15	107.052633042718	73.3052195834119	53.4219185562779	0.684758678977663	0.499024797782981	-0.456484138045247	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)
CP002976.1_538454_537384	537384	538454	32	202.581542441678	228.797220577883	181.640000452033	1.12940802908415	0.89662660409611	-0.33298758093929	dTDP-Rha:A-D-GlcNAc-diphosphoryl polyprenol, A-3-L-rhamnosyl transferase WbbL
CP002976.1_1455867_1453450	1453450	1455867	51	309.608503048365	315.495325180301	280.924837032506	1.01901376116604	0.907355044407877	-0.167434447206641	Aminomethyl transferase family protein
CP002976.1_1822664_1821390	1821390	1822664	29	223.82663875449	193.697667230807	141.537024859578	0.865391484716301	0.632351116235215	-0.452627080209221	Uncharacterized MFS-type transporter
CP002976.1_2365309_2364431	2364431	2365309	37	250.247680773337	277.634036727262	247.519242626912	1.1094370020505	0.989097049219423	-0.165643759437581	Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)
CP002976.1_3275938_3275102	3275102	3275938	60	638.100587657459	571.522192997067	446.671615206568	0.89566159952178	0.700001886609055	-0.35559494325055	Transcriptional regulator
CP002976.1_3224510_3224151	3224151	3224510	488	3961.39150089697	3526.78513889565	3037.59536725883	0.890289469772699	0.766800091980565	-0.215423981865709	hypothetical protein
CP002976.1_2080999_2080214	2080214	2080999	471	2910.42061715712	3278.42992425468	2448.7196716627	1.1264454027463	0.841362811006538	-0.420977433621377	hypothetical protein
CP002976.1_501768_502712	501768	502712	53	429.570530385815	355.374677644897	302.873590653056	0.827278997294625	0.705061379282776	-0.23062509878651	hypothetical protein
